Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afganistán;AFG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;204687;194137;152547;152789;149359;145769;14073;13441;1318;1122;107812;1088638;140303;1653207;1292307;1961711;228368;284781;437564;655897;857615;1196189;1020813;940205;928134;1005759;929493;1002278;1097238;1123883;870947
Angola;AGO;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;65642;66745;68773;92697;1129823;1271948;154424;161549;167679;1761322;1620416;159559;156895;167648;174536;158112;165586;169664;192753;21145;228015;238658;23868;269587;296105;316489;295207;250648;236374;243829;198145
Albania;ALB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;60605;41196;22393;20784;20847;19511;1968;147916;180455;298535;318654;32342;37619;41374;43223;40959;40818;42584;42095;43682;47854;51367;45418;47954;5188;4797;45732;54037;53161;49933;43832
Andorra;AND;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;406704;406704;406704;410368;406704;425024;454336;465328;490976;51296;523952;523952;53128;534944;560592;575248;545936;538608;538608;516624;516624;490976;487312;47632;461664;465328;468992;465328;49464;479984;448884399
El mundo árabe;ARB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;63247287;634670889;68896938;74181784;78620954;81018027;83886428;87977168;88460246;8965233;93398854;98550825;101903888;104996051;11064976;11821323;124503215;12961345;140075546;14475536;15336766;15674058;16741467;170682079;176658307;180914715;182758797;18432317;18263519;184584637;17650529
Emiratos Árabes Unidos;ARE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;552104;615641;597028;636202;707796;751667;785283;814409;834496;856798;847291;971965;991463;1038205;1100076;1164539;1215625;1318316;1560444;1570198;1627889;1666315;1756879;1849608;1866398;1954094;2003985;191935;1742203;1856457;1880887
Argentina;ARG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1003139;1059066;1079211;1102565;1119099;1128867;1225459;1261187;1326699;134502;1322655;1252552;1174621;1276535;1413764;1459954;1549175;1628202;1672318;1565675;1672263;1766416;1779553;1832557;1796007;185550;1831587;1792673;1768946;168162;1545359
Armenia;ARM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;198452;206896;1075596;497449;270787;343676;248191;33243;34925;3103;3561;3602;31187;34954;37638;44609;44892;52044;56855;45108;43366;49371;57165;55015;5479;53434;50667;53713;57122;61956;67466
Antigua y Barbuda;ATG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2182;2214;2185;222;2252;2352;2548;2676;286;2993;3125;3219;3351;3607;3674;3767;398;4192;4281;4536;4658;4561;4699;4729;4766;4902;5005;5001;5086;509;4746
Australia;AUS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2634375;2647097;2683665;2730169;2800963;2901415;3001804;3077785;3275369;3336777;3394228;3456094;3533158;3528935;3661416;3688019;3741044;3843683;3875703;3938597;3959932;3944367;395690;3884274;3792672;3857824;3948036;3971494;3960599;3951991;3789968
